smiles,logCMC
CCCCCCCCCCCC(=O)OCC1OC(OCC2OC(OCC3OC(OC4(CO)OC(CO)C(O)C4O)C(O)C(O)C3O)C(O)C(O)C2O)C(O)C(O)C1O,3.361727836
CCCCCCCCCCCC(=O)OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O,2.662757832
CCCCCCCCCCSCC(O)C(O)C(O)CO,2.602059991
CCCCCCCCCCSC1OC(=O)C(O)C1O,1.51851394
CCCCCCSCC(O)C(O)C(O)CO,4.079181246
CCCCCCSC1OC(=O)C(O)C1O,3.826074803
CCCCCCCCSCC(O)C(O)C(O)CO,3.079181246
CCCCCCCCSC1OC(=O)C(O)C1O,2.681241237
CCCCCCCC(=O)NC1C(O)OC(CO)C(O)C1O,4.653212514
CCCCCCCC(=O)NC1OC(CO)C(O)C(O)C1O,4.84509804
CC(C)CCCC(C)CCOC1OC(CO)C(O)C(O)C1O,3.602059991
CC(C)CCCC(C)CCOC1OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,3.72427587
CC(C)CCCC(C)CCOC1OC(CO)C(OC2OC(CO)C(OC3OC(CO)C(O)C(O)C3O)C(O)C2O)C(O)C1O,3.698970004
CCCCCCCCCOC1OC(CO)C(O)C(O)C1N,3.84509804
CCCCCCCCOC1OC(CO)C(O)C(O)C1N,4.361727836
CCCCCCCCCCN(C)C(=O)C(O)C(O)C(O)C(O)CO,3.113943352
CCCCCCCCCCN(C)C(=O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,3.361727836
CCCCCCCCCCCCN(C)C(=O)C(O)C(O)C(O)C(O)CO,2.146128036
CCCCCCCCCCCCN(C)C(=O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,2.397940009
CCCCCCCCCCCCCCCCN(C)C(=O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,0.968482949
CCCCCCCCCCCCCCCCCCN(C)C(=O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,0.51851394
CCCCCCCCC=CCCCCCCCCN(C)C(=O)C(O)C(O)C(O)C(O)CO,1.505149978
CCCCCCCCC=CCCCCCCCCN(C)C(=O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,1.73239376
CCCCCCCCCCCCCCN(C)C(=O)C(O)C(O)C(O)C(O)CO,1.380211242
CCCCCCCCCCCCCCN(C)C(=O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,1.556302501
CCCCCCCCCCCC(=O)N(C)CC(O)CO,2.361727836
CCCCCCCCCCCC(=O)N(C)CC(O)C(O)C(O)CO,2.556302501
CCCCCCCCCCOC1OC(CO)C(O)C(O)C1O,3.301029996
CCCCCCCCCCOC1OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,3.301029996
CCCCCCCCCCCCOC1OC(CO)C(O)C(O)C1O,2.278753601
CCCCCCCCC=CCCCCCCCC(=O)NCCOC1OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,1.954242509
CCCCCCCCC=CCCCCCCCCOC1OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,1.301029996
CCCCCCCCC=CCCCCCCCCOC1OC(CO)C(OC2OC(CO)C(OC3OC(CO)C(O)C(O)C3O)C(O)C2O)C(O)C1O,1.62324929
CCCCCCCCCCNC(=O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,3.113943352
CCCCCCCCCCCCNC(=O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,2.491361694
CCCCCCCCCCCCOC1OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,2.230448921
CCCCCCCCNC(=O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,3.755874856
CCCCCCCCCC(=O)N(C)CC(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,3.51851394
CCCCCCCCCCCC(=O)N(C)CC(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,2.653212514
CCCCCCCCCCCCCC(=O)N(C)CC(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,1.832508913
CCCCCCCCCOC1OC(CO)C(O)C(O)C1O,3.838849091
CCCCCCCCSC1OC(CO)C(O)C(O)C1O,3.929418926
CCCCCCOCCOCCOCCO,5.0
CCCCCCCCCCOCCOCCOCCO,2.77815125
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCO,1.939519253
CCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,4.113943352
CCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,3.113943352
CCCCCCCC[N+](C)(C)C,5.146128036
CCCCCCCCCC[N+](C)(C)C,4.832508913
CCCCCCCCCC[N+](C)(C)C,4.832508913
CCCCCCCCCCCC[N+](C)(C)C,4.204119983
CCCCCCCCCCCC[N+](C)(C)C,4.301029996
CCCCCCCCCCCCCC[N+](C)(C)C,3.556302501
CCCCCCCCCCCCCC[N+](C)(C)C,3.653212514
CCCCCCCCCCCCCCCC[N+](C)(C)C,2.991226076
CCCCCCCCCC[n+]1ccccc1,4.643452676
CCCCCCCCCCC[n+]1ccccc1,4.322219295
CCCCCCCCCCCC[n+]1ccccc1,4.056904851
CCCCCCCCCCCC[n+]1ccccc1,4.230448921
CCCCCCCCCCCC[n+]1ccccc1,3.72427587
CCCCCCCCCCCCC[n+]1ccccc1,3.72427587
CCCCCCCCCCCCCC[n+]1ccccc1,3.431363764
CCCCCCCCCCCCCC[n+]1ccccc1,3.544068044
CCCCCCCCCCCCCCC[n+]1ccccc1,3.113943352
CCCCCCCCCCCCCCCC[n+]1ccccc1,2.806179974
CCCCCCCCCCCCCCCC[n+]1ccccc1,2.954242509
CCCCCCCCCCCCCCCCCC[n+]1ccccc1,2.380211242
CCCCCCCCCCCC[N+](C)(C)CC,4.146128036
CCCCCCCCCCCC[N+](C)(C)CCCC,3.875061263
CCCCCCCCCCCC[N+](C)(C)CCCCCC,3.491361694
CCCCCCCCCCCC[N+](C)(C)CCCCCCCC,3.041392685
CCCCCCCCCCCCCC[N+](CC)(CC)CC,3.491361694
CCCCCCCCCCCCCC[N+](CCC)(CCC)CCC,3.322219295
CCCCCCCCCCCCCC[N+](CCCC)(CCCC)CCCC,3.079181246
CCCCCCCCCC[N+](C)(C)Cc1ccccc1,4.591064607
CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,3.944482672
CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,3.301029996
CCCCCCCCCCCC[NH2+]CCO,4.653212514
CCCCCCCCCCCC[NH+]CCO,4.556302501
CCCCCCCCCCCC[N+]CCO,4.397940009
CCCCCCCCCC[N+](C)(C)CCCCCCCCCC,3.267171728
CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC,2.245512668
CCCCCCCCCCCCCCCC(=O)NC(C(=O)[O-])C(C)C,3.278753601
CCCCCCCCCCCCCCCC(=O)NC(CC(C)C)C(=O)[O-],3.176091259
CCCCCCCCCCS(=O)(=O)[O-],4.633468456
CCCCCCCCCCCCS(=O)(=O)[O-],4.093421685
CCCCCCCCCCCCS(=O)(=O)[O-],4.041392685
CCCCCCCCCCCCS(=O)(=O)[O-],3.949390007
CCCCCCCCCCCCS(=O)(=O)[O-],3.968482949
CCCCCCCCCCCCOS(=O)(=O)[O-],3.913813852
CCCCCCCCCCCCOS(=O)(=O)[O-],3.949390007
CCCCCCCCCCCCCCOS(=O)(=O)[O-],3.322219295
CCCCCCCCCCOCCS(=O)(=O)[O-],4.201397124
CCCCCCCCCCCCOCCOS(=O)(=O)[O-],3.591064607
CCCCCCCCCCCCOCCOCCOS(=O)(=O)[O-],3.462397998
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOS(=O)(=O)[O-],1.397940009
CCCCCCCCC(CCCCCC)COCCOCCOCCOCCOCCOS(=O)(=O)[O-],1.934498451
CCCCCCOC(=O)CS(=O)(=O)[O-],5.230448921
CCCCCCCCOC(=O)CS(=O)(=O)[O-],4.819543936
