smiles,logCMC
CCCCCCCCCCCC(=O)OCC1OC(OCC2OC(OC3(CO)OC(CO)C(O)C3O)C(O)C(O)C2O)C(O)C(O)C1O,2.977723605
CCCCCCCCn1cc[n+](COCCCCCOC[n+]2ccn(CCCCCCCC)c2)c1,3.17
CCCCCCn1cc[n+](COCCCOC[n+]2ccn(CCCCCC)c2)c1,3.39
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCO,1.939519253
CCCCCCCCCCCC[n+]1ccccc1,4.558275583
CCCCCCCCCCC(C)OCCOCCO,1.529745297
CCCCCCCCCCC(C(=O)[O-])[n+]1ccccc1,3.716003344
CCCCCC(C)(C)c1ccc(OCCOCCOCCOCCOCCO)cc1,2.174901749
CCCCCCCCCCCC(=O)OCCC[N+](C)(C)CC(O)CN(CCCCCCCC)CC(O)C[N+](C)(C)CCCOC(=O)CCCCCCCCCCC,1.61
CCCCCCCCCCCC[N+](C)(C)CCCCCCCC(=O)[O-],3.176091259
CCCCCCCCCCCCOCC(O)Cn1cc[n+](CCC[n+]2ccn(CC(O)COCCCCCCCCCCCC)c2)c1,1.301
CCCCCCCCCCCC[N+](C)(C)CCOCC[N+](C)(C)CCCCCCCCCCCC,3.02
CCCCCCCCCCCCCC[N+](CCC)(CCC)CCC,3.67896679
CC(C)(C)CC(C)(C)c1ccc(OCCOCCO)cc1,2.113943352
CCCCCCCCCCCCCCCC[n+]1ccccc1,2.806179974
CCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCC,4.21
CCCCCC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,2.551555516
CCCCCCCCCCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CC[N+](C)(C)CC(=O)Nc2ccc(OCCCCCCCCCCCCCCCC)cc2)cc1,1.146128036
CCCCCCCCCn1cc[n+](COCCCOC[n+]2ccn(CCCCCCCCC)c2)c1,3.16
CCCCCCCC(=O)OCC(O)C(O)C(O)CO,4.255272505
CCCCCCCCNC(=O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,3.755874856
C[N+](C)([O-])CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2.672097858
CCCCCCOCCOCCOCCOCCOCCO,4.966141733
CCCCCCCCOCCOCCOCCOCCOCCOCCO,3.995635195
CCCCCCCCCCCC(=O)OCCC[N+](C)(C)CC(O)CN(CCCCCC)CC(O)C[N+](C)(C)CCCOC(=O)CCCCCCCCCCC,1.65
CCn1cc[n+](COCCCCCCOC[n+]2ccn(CC)c2)c1,3.63
CCCCCCCCCCCCCCCC(=O)NC(CC(C)C)C(=O)[O-],3.176091259
CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,3.944482672
CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)[O-],3.397940009
CCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,3
CCCCCCCCCCC(C(=O)O)[n+]1ccccc1,3.690816908
CCCCCCCCCCOC1OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,3.301029996
CCCCCCCCSCC(O)C(O)C(O)CO,3.079181246
CCCCCC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCO)cc1,2.390453905
CCCCCCCCCCCCO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,2.261152612
CCCCCCCCCCOCCS(=O)(=O)[O-],4.201397124
CCCCCn1cc[n+](COCCCCCOC[n+]2ccn(CCCCC)c2)c1,3.42
Cn1cc[n+](COCCCCCCOC[n+]2ccn(C)c2)c1,3.71
CCCCCn1cc[n+](COCCCOC[n+]2ccn(CCCCC)c2)c1,3.48
CCCCn1cc[n+](COCCOC[n+]2ccn(CCCC)c2)c1,3.59
CCCCCCCCCCCC[N+](C)(C)CCCS(=O)(=O)[O-],3.477121255
CCCCCCCCCCCC[N+](C)(C)CCCCCC(=O)[O-],3.414973348
CCCCCCCCOC1OC(CO)C(O)C(O)C1N,4.361727836
CCCCCCCCCCCCCCCC[N+](C)(C)C,1.82704827
CCCCCCCCCCCCS(=O)(=O)[O-],3.968482949
CCCCCCCn1cc[n+](COCCCOC[n+]2ccn(CCCCCCC)c2)c1,3.32
CCCCCCCCCCCCCC[N+](CCC)(CCC)CCC,3.322219295
CCCCCCCCCCCCC(O)CCO,1.113943352
CCCCCCCCCCCCN(C)C(=O)C(O)C(O)C(O)C(O)CO,2.146128036
CCCCCCCCCCCC(=O)OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,2.51851394
CCCCCCCCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](OC1OC(O)C(O)C(O)C1O)[C@H](O)CO,1.672546725
CCCCCCCCCC[N+](C)(C)C,4.832508913
CCCCCCCCCCCC[N+](C)(C)C(=O)NCCNC(=O)[N+](C)(C)CCCCCCCCCCCC,2.973
CCCCCCCCC=CCCCCCCCCN(C)C(=O)C(O)C(O)C(O)C(O)CO,1.505149978
