smile_A,mol_fraction_A,smile_B,mol_fraction_B,logCMC
C(CCO)[N+](CCO)(C)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Cl-],0.7,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],0.3,3.643142818
C(CCO)[N+](CCO)(C)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Cl-],0.8,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],0.2,3.626590983
C(CCO)[N+](CCO)(C)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Cl-],0.9,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],0.1,3.580915319
C(CCO)[N+](CCO)(C)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Cl-],1,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],0,3.561731665
C(CCO)[N+](CCO)(C)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Cl-],0,CCCCCCCCCCCCOS(=O)(=O)[O-].[Li+],1,3.852803456
C(CCO)[N+](CCO)(C)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Cl-],0.05,CCCCCCCCCCCCOS(=O)(=O)[O-].[Li+],0.95,2.8695121
C(CCO)[N+](CCO)(C)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Cl-],0.1,CCCCCCCCCCCCOS(=O)(=O)[O-].[Li+],0.9,2.56663905
C(CCO)[N+](CCO)(C)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Cl-],0.15,CCCCCCCCCCCCOS(=O)(=O)[O-].[Li+],0.85,2.398602834
C(CCO)[N+](CCO)(C)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Cl-],0.8,CCCCCCCCCCCCOS(=O)(=O)[O-].[Li+],0.2,2.421587814
C(CCO)[N+](CCO)(C)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Cl-],0.9,CCCCCCCCCCCCOS(=O)(=O)[O-].[Li+],0.1,2.481055137
C(CCO)[N+](CCO)(C)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Cl-],0.95,CCCCCCCCCCCCOS(=O)(=O)[O-].[Li+],0.05,2.618709668
C(CCO)[N+](CCO)(C)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Cl-],0.97,CCCCCCCCCCCCOS(=O)(=O)[O-].[Li+],0.03,2.683933011
C(CCO)[N+](CCO)(C)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Cl-],1,CCCCCCCCCCCCOS(=O)(=O)[O-].[Li+],0,3.450123012
C(CCO)[N+](CCO)(C)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Cl-],0,CCCCCCCCCCCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],1,3.171310036
C(CCO)[N+](CCO)(C)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Cl-],0.05,CCCCCCCCCCCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],0.95,1.744695209
C(CCO)[N+](CCO)(C)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Cl-],0.15,CCCCCCCCCCCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],0.85,1.555593899
C(CCO)[N+](CCO)(C)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Cl-],0.4,CCCCCCCCCCCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],0.6,1.45784925
C(CCO)[N+](CCO)(C)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Cl-],0.6,CCCCCCCCCCCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],0.4,1.447718959
C(CCO)[N+](CCO)(C)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Cl-],0.8,CCCCCCCCCCCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],0.2,1.529597166
C(CCO)[N+](CCO)(C)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Cl-],0.95,CCCCCCCCCCCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],0.05,1.708345795
C(CCO)[N+](CCO)(C)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Cl-],1,CCCCCCCCCCCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],0,3.405978482
C(CCO)[N+](CCO)(C)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Cl-],0,CCCCCCCCCCCCOCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],1,2.126831849
C(CCO)[N+](CCO)(C)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Cl-],0.1,CCCCCCCCCCCCOCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],0.9,1.818130229
C(CCO)[N+](CCO)(C)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Cl-],0.2,CCCCCCCCCCCCOCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],0.8,1.688752387
C(CCO)[N+](CCO)(C)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Cl-],0.6,CCCCCCCCCCCCOCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],0.4,1.622433877
C(CCO)[N+](CCO)(C)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Cl-],0.8,CCCCCCCCCCCCOCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],0.2,1.690661881
C(CCO)[N+](CCO)(C)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Cl-],0.9,CCCCCCCCCCCCOCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],0.1,1.74082254
C(CCO)[N+](CCO)(C)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Cl-],1,CCCCCCCCCCCCOCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],0,3.405978482
C(CCO)[N+](CCO)(C)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Cl-],0,CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],1,2.090022316
C(CCO)[N+](CCO)(C)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Cl-],0.1,CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],0.9,2.011341938
C(CCO)[N+](CCO)(C)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Cl-],0.3,CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],0.7,1.945974341
C(CCO)[N+](CCO)(C)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Cl-],0.6,CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],0.4,1.96760761
C(CCO)[N+](CCO)(C)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Cl-],0.8,CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],0.2,2.008182453
C(CCO)[N+](CCO)(C)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Cl-],0.9,CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],0.1,2.145681398
C(CCO)[N+](CCO)(C)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Cl-],1,CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],0,3.405978482
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Na+],0,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],1,3.959081865
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Na+],0.065,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.935,3.978322152
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Na+],0.14,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.86,3.991203133
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Na+],0.26,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.74,4.023030584
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Na+],0.37,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.63,4.045327167
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Na+],0.45,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.55,4.035436185
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Na+],0.5,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.5,4.018111038
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Na+],0.57,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.43,3.986895352
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Na+],0.7,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.3,3.945633249
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Na+],0.85,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.15,3.900085944
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Na+],1,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0,3.860672499
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0,CC=C(C)C(=O)OC1C(C2(C(CC1(C)C)C3=CCC4C5(CCC(C(C5CCC4(C3(CC2O)C)C)(C)CO)OC6C(C(C(C(O6)C(=O)O)OC7C(C(C(C(O7)CO)O)O)O)O)OC8C(C(C(C(O8)CO)O)O)O)C)CO)OC(=O)C,1,2.041081628
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.2,CC=C(C)C(=O)OC1C(C2(C(CC1(C)C)C3=CCC4C5(CCC(C(C5CCC4(C3(CC2O)C)C)(C)CO)OC6C(C(C(C(O6)C(=O)O)OC7C(C(C(C(O7)CO)O)O)O)O)OC8C(C(C(C(O8)CO)O)O)O)C)CO)OC(=O)C,0.8,1.480272754
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.4,CC=C(C)C(=O)OC1C(C2(C(CC1(C)C)C3=CCC4C5(CCC(C(C5CCC4(C3(CC2O)C)C)(C)CO)OC6C(C(C(C(O6)C(=O)O)OC7C(C(C(C(O7)CO)O)O)O)O)OC8C(C(C(C(O8)CO)O)O)O)C)CO)OC(=O)C,0.6,1.782252194
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.6,CC=C(C)C(=O)OC1C(C2(C(CC1(C)C)C3=CCC4C5(CCC(C(C5CCC4(C3(CC2O)C)C)(C)CO)OC6C(C(C(C(O6)C(=O)O)OC7C(C(C(C(O7)CO)O)O)O)O)OC8C(C(C(C(O8)CO)O)O)O)C)CO)OC(=O)C,0.4,1.608321496
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.8,CC=C(C)C(=O)OC1C(C2(C(CC1(C)C)C3=CCC4C5(CCC(C(C5CCC4(C3(CC2O)C)C)(C)CO)OC6C(C(C(C(O6)C(=O)O)OC7C(C(C(C(O7)CO)O)O)O)O)OC8C(C(C(C(O8)CO)O)O)O)C)CO)OC(=O)C,0.2,1.783618169
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],1,CC=C(C)C(=O)OC1C(C2(C(CC1(C)C)C3=CCC4C5(CCC(C(C5CCC4(C3(CC2O)C)C)(C)CO)OC6C(C(C(C(O6)C(=O)O)OC7C(C(C(C(O7)CO)O)O)O)O)OC8C(C(C(C(O8)CO)O)O)O)C)CO)OC(=O)C,0,3.287338473
C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O.[Na+],0,CCCCCCCCCCCC[N+](C)(C)C.[Br-],1,4.255272505
C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O.[Na+],0.1,CCCCCCCCCCCC[N+](C)(C)C.[Br-],0.9,2.602059991
C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O.[Na+],0.5,CCCCCCCCCCCC[N+](C)(C)C.[Br-],0.5,2
C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O.[Na+],1,CCCCCCCCCCCC[N+](C)(C)C.[Br-],0,4.342422681
C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O.[Na+],0,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],1,2.949390007
C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O.[Na+],0.90909,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0.090909,2
C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O.[Na+],0.090909,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0.90909,2.149219113
C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O.[Na+],1,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0,4.328379603
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],1,CCCCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0,3.919078092
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.8,CCCCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.2,3.477121255
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.6,CCCCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.4,3.243038049
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.5,CCCCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.5,3.176091259
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.4,CCCCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.6,3.06069784
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.2,CCCCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.8,3
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0,CCCCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],1,2.875061263
CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)[O-].[Na+],1,OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC[C@@H](OC(CCCCCCC/C=C\CCCCCCCC)=O)[C@@H]1[C@H](OC(CCCCCCC/C=C\CCCCCCCC)=O)[C@@H](OC(CCCCCCC/C=C\CCCCCCCC)=O)CO1,0,3.419955748
CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)[O-].[Na+],0.8,OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC[C@@H](OC(CCCCCCC/C=C\CCCCCCCC)=O)[C@@H]1[C@H](OC(CCCCCCC/C=C\CCCCCCCC)=O)[C@@H](OC(CCCCCCC/C=C\CCCCCCCC)=O)CO1,0.2,-0.055517328
CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)[O-].[Na+],0.6,OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC[C@@H](OC(CCCCCCC/C=C\CCCCCCCC)=O)[C@@H]1[C@H](OC(CCCCCCC/C=C\CCCCCCCC)=O)[C@@H](OC(CCCCCCC/C=C\CCCCCCCC)=O)CO1,0.4,-0.37675071
CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)[O-].[Na+],0.4,OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC[C@@H](OC(CCCCCCC/C=C\CCCCCCCC)=O)[C@@H]1[C@H](OC(CCCCCCC/C=C\CCCCCCCC)=O)[C@@H](OC(CCCCCCC/C=C\CCCCCCCC)=O)CO1,0.6,-0.494850022
CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)[O-].[Na+],0.2,OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC[C@@H](OC(CCCCCCC/C=C\CCCCCCCC)=O)[C@@H]1[C@H](OC(CCCCCCC/C=C\CCCCCCCC)=O)[C@@H](OC(CCCCCCC/C=C\CCCCCCCC)=O)CO1,0.8,-0.657577319
CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)[O-].[Na+],0,OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC[C@@H](OC(CCCCCCC/C=C\CCCCCCCC)=O)[C@@H]1[C@H](OC(CCCCCCC/C=C\CCCCCCCC)=O)[C@@H](OC(CCCCCCC/C=C\CCCCCCCC)=O)CO1,1,-0.552841969
C1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],0,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],1,2.957128198
C1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],0.2,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0.8,2.252610341
C1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],0.4,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0.6,2.203032887
C1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],0.6,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0.4,2.252610341
C1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],0.8,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0.2,2.298197867
C1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],1,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0,5
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],1,C1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],0,3.910517686
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.8,C1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],0.2,3.959899588
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.666,C1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],0.333,4.005180513
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.333,C1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],0.666,4.175395831
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.2,C1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],0.8,4.283142863
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0,C1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],1,5
CCCCCCCCC(C)CCCOCCOCCOCCOCCOCCOP(=O)(O)[O-].[K+],1,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],0,1.57863921
CCCCCCCCC(C)CCCOCCOCCOCCOCCOCCOP(=O)(O)[O-].[K+],0.8,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],0.2,1.247973266
CCCCCCCCC(C)CCCOCCOCCOCCOCCOCCOP(=O)(O)[O-].[K+],0.6,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],0.4,1.374748346
CCCCCCCCC(C)CCCOCCOCCOCCOCCOCCOP(=O)(O)[O-].[K+],0.5,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],0.5,1.745855195
CCCCCCCCC(C)CCCOCCOCCOCCOCCOCCOP(=O)(O)[O-].[K+],0.4,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],0.6,1.551449998
CCCCCCCCC(C)CCCOCCOCCOCCOCCOCCOP(=O)(O)[O-].[K+],0.2,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],0.8,1.475671188
CCCCCCCCC(C)CCCOCCOCCOCCOCCOCCOP(=O)(O)[O-].[K+],0,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],1,2.267171728
CCCCCCCCCCCCOCCOCCOCCOCCOCCOP(=O)(O)[O-].[K+],1,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],0,1.484299839
CCCCCCCCCCCCOCCOCCOCCOCCOCCOP(=O)(O)[O-].[K+],0.8,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],0.2,1.100370545
CCCCCCCCCCCCOCCOCCOCCOCCOCCOP(=O)(O)[O-].[K+],0.6,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],0.4,1.292256071
CCCCCCCCCCCCOCCOCCOCCOCCOCCOP(=O)(O)[O-].[K+],0.5,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],0.5,1.563481085
CCCCCCCCCCCCOCCOCCOCCOCCOCCOP(=O)(O)[O-].[K+],0.4,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],0.6,1.352182518
CCCCCCCCCCCCOCCOCCOCCOCCOCCOP(=O)(O)[O-].[K+],0.2,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],0.8,1.463892989
CCCCCCCCCCCCOCCOCCOCCOCCOCCOP(=O)(O)[O-].[K+],0,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],1,2.267171728
CCCCCCCCC(C)CCCOCCOCCOCCOCCOCCOP(=O)(O)[O-].[K+],1,CCCCCCCCCCCC[N+](C)(C)CCO.[Cl-],0,1.57863921
CCCCCCCCC(C)CCCOCCOCCOCCOCCOCCOP(=O)(O)[O-].[K+],0.8,CCCCCCCCCCCC[N+](C)(C)CCO.[Cl-],0.2,1.440909082
CCCCCCCCC(C)CCCOCCOCCOCCOCCOCCOP(=O)(O)[O-].[K+],0.6,CCCCCCCCCCCC[N+](C)(C)CCO.[Cl-],0.4,1.631443769
CCCCCCCCC(C)CCCOCCOCCOCCOCCOCCOP(=O)(O)[O-].[K+],0.5,CCCCCCCCCCCC[N+](C)(C)CCO.[Cl-],0.5,1.635483747
CCCCCCCCC(C)CCCOCCOCCOCCOCCOCCOP(=O)(O)[O-].[K+],0.4,CCCCCCCCCCCC[N+](C)(C)CCO.[Cl-],0.6,1.71432976
CCCCCCCCC(C)CCCOCCOCCOCCOCCOCCOP(=O)(O)[O-].[K+],0.2,CCCCCCCCCCCC[N+](C)(C)CCO.[Cl-],0.8,1.868056362
CCCCCCCCC(C)CCCOCCOCCOCCOCCOCCOP(=O)(O)[O-].[K+],0,CCCCCCCCCCCC[N+](C)(C)CCO.[Cl-],1,2.204119983
CCCCCCCCCCCCOCCOCCOCCOCCOCCOP(=O)(O)[O-].[K+],1,CCCCCCCCCCCC[N+](C)(C)CCO.[Cl-],0,1.484299839
CCCCCCCCCCCCOCCOCCOCCOCCOCCOP(=O)(O)[O-].[K+],0.8,CCCCCCCCCCCC[N+](C)(C)CCO.[Cl-],0.2,1.46834733
CCCCCCCCCCCCOCCOCCOCCOCCOCCOP(=O)(O)[O-].[K+],0.6,CCCCCCCCCCCC[N+](C)(C)CCO.[Cl-],0.4,1.713490543
CCCCCCCCCCCCOCCOCCOCCOCCOCCOP(=O)(O)[O-].[K+],0.5,CCCCCCCCCCCC[N+](C)(C)CCO.[Cl-],0.5,1.741151599
CCCCCCCCCCCCOCCOCCOCCOCCOCCOP(=O)(O)[O-].[K+],0.4,CCCCCCCCCCCC[N+](C)(C)CCO.[Cl-],0.6,1.825426118
CCCCCCCCCCCCOCCOCCOCCOCCOCCOP(=O)(O)[O-].[K+],0.2,CCCCCCCCCCCC[N+](C)(C)CCO.[Cl-],0.8,1.949390007
CCCCCCCCCCCCOCCOCCOCCOCCOCCOP(=O)(O)[O-].[K+],0,CCCCCCCCCCCC[N+](C)(C)CCO.[Cl-],1,2.204119983
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0,CCCCCCCCCCCC[N+](C)(C)CCCS(=O)(=O)[O-],1,3.342422681
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.25,CCCCCCCCCCCC[N+](C)(C)CCCS(=O)(=O)[O-],0.75,2.397940009
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.5,CCCCCCCCCCCC[N+](C)(C)CCCS(=O)(=O)[O-],0.5,2.477121255
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.75,CCCCCCCCCCCC[N+](C)(C)CCCS(=O)(=O)[O-],0.25,2.903089987
