smile_A,mol_fraction_A,smile_B,mol_fraction_B
CCCCCCCCCCCCOS(=O)(=O)[O-],0.5,CCCCCCCCCCCC[N+](C)(C)CCCS(=O)(=O)[O-],0.5
CCCCCCCCCCCCOS(=O)(=O)[O-],0.5,CCCCCCCCCCCC[N+](C)(C)CC(=O)[O-],0.5
CCCCCCCCCCCC[N+](C)(C)CCCS(=O)(=O)[O-],0.5,CCCCCCCCCCCC[N+](C)(C)C,0.5
CCCCCCCCCCCC[N+](C)(C)CC(=O)[O-],0.5,CCCCCCCCCCCC[N+](C)(C)C,0.5
CCCCCCCCCCCCOS(=O)(=O)[O-],0.5,CCCCCCCCCCCCC(=O)NCCC[N+](C)(C)CC(=O)[O-],0.5
CCCCCCCCCC[N+](C)(C)CCCS(=O)(=O)[O-],0.5,CCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,0.5
CCCCCCCCCCCC[N+](C)(C)CCCS(=O)(=O)[O-],0.5,CCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,0.5
CCCCCCCCCCCCCC[N+](C)(C)CCCS(=O)(=O)[O-],0.5,CCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,0.5
CCCCCCCCCCCCCC[N+](C)(C)C,0.5,CCCCCCCCCC[N+](C)(C)C,0.5
CCCCCCCCCCCCCC[N+](C)(C)C,0.5,CCCCCCCCCCCC[N+](C)(C)C,0.5
CCCCCCCCCCCCCC[N+](C)(C)C,0.5,CCCCCCCCCCCCCC[N+](C)(C)C,0.5
CCCCCCCCCCCCCC[N+](C)(C)C,0.5,CCCCCCCCCCCCCCCC[N+](C)(C)C,0.5
CCCCCCCCCCCCCCCC(=O)OCCOCC(OCCOCCOCCOCCOCCO)C1OCC(OCCOCCOCCOCCOCCOCCOCCO)C1OCCOCCOCCOCCOCCOCCOCCOCCO,0.5,CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,0.5
CCCCCCCCCCCCCCCC[n+]1ccccc1,0.5,CCCCCCCCCCCCCCCC(=O)OCCOCC(OCCOCCOCCOCCOCCO)C1OCC(OCCOCCOCCOCCOCCOCCOCCO)C1OCCOCCOCCOCCOCCOCCOCCOCCO,0.5
CCCCCCCCCCCCCCCC[n+]1ccccc1,0.5,CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,0.5
CCCCCCCCCCCCOS(=O)(=O)[O-],0.499550225,C[N+](C)(C)CCCCCCCCCCCC[N+](C)(C)C,0.500449775
CCCCCCCCCCCCOS(=O)(=O)[O-],0.500449775,CCCCCCCCCCCC[N+](C)(C)C,0.499550225
CCCCCCCCCCCCOS(=O)(=O)[O-],0.501349325,CCCCCCCCCCCC[N+](C)(C)CCC[N+](C)(C)CCCCCCCCCCCC,0.498650675
CCCCCCCCCCCCOS(=O)(=O)[O-],0.500449775,CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC,0.499550225
CCCCCCCCCCC(Oc1ccc(OC(CCCCCCCCCC)C(=O)[O-])cc1)C(=O)[O-],0.5,CCCCCCCCCCCC[N+](C)(C)C,0.5
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.498951049,CCCCCCCCCCCC[N+](C)(C)C,0.501048951
CCCCCCCCCCOS(=O)(=O)[O-],0.5,CC(C)CC(C)(C#CC(C)(CC(C)C)OCCOCCOCCOCCOCCO)OCCOCCOCCOCCOCCO,0.5
CCCCCCCCCCCCOS(=O)(=O)[O-],0.5,CC(C)CC(C)(C#CC(C)(CC(C)C)OCCOCCOCCOCCOCCO)OCCOCCOCCOCCOCCO,0.5
CCCCC(CC)CCC(CC(C)C)OS(=O)(=O)[O-],0.5,CC(C)CC(C)(C#CC(C)(CC(C)C)OCCOCCOCCOCCOCCO)OCCOCCOCCOCCOCCO,0.5
CCCCCCCCCCS(=O)(=O)[O-],0.5,CC(C)CC(C)(C#CC(C)(CC(C)C)OCCOCCOCCOCCOCCO)OCCOCCOCCOCCOCCO,0.5
CCCCCCCCCCCCS(=O)(=O)[O-],0.5,CC(C)CC(C)(C#CC(C)(CC(C)C)OCCOCCOCCOCCOCCO)OCCOCCOCCOCCOCCO,0.5
CCCCC(CC)CCC(CC(C)C)S(=O)(=O)[O-],0.5,CC(C)CC(C)(C#CC(C)(CC(C)C)OCCOCCOCCOCCOCCO)OCCOCCOCCOCCOCCO,0.5
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.5,CCCCCCCCn1cc[n+](C)c1,0.5
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.5,CCCCCCCCCCn1cc[n+](C)c1,0.5
