smile_A,mol_fraction_A,smile_B,mol_fraction_B
CCCCCCCCCCCCOS(=O)(=O)[O-],0.2,CCCCCCCCCC(=O)N(C)CC(O)C(O)C(O)C(O)CO,0.8
CCCCCCCCCCCCOS(=O)(=O)[O-],0.0,CCCCCCCCCC(=O)N(C)CC(O)C(O)C(O)C(O)CO,1.0
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.0,CCCCCCCCCCOS(=O)(=O)[O-],1.0
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.25,CCCCCCCCCCOS(=O)(=O)[O-],0.75
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.4,CCCCCCCCCCOS(=O)(=O)[O-],0.6
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.5,CCCCCCCCCCOS(=O)(=O)[O-],0.5
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.6,CCCCCCCCCCOS(=O)(=O)[O-],0.4
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.75,CCCCCCCCCCOS(=O)(=O)[O-],0.25
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.0,CCCCCCCCCCOS(=O)(=O)[O-],0.0
CCCCCCCCCCP(C)(C)=O,1.0,CCCCCCCCCCS(C)=O,0.0
CCCCCCCCCCP(C)(C)=O,0.89,CCCCCCCCCCS(C)=O,0.11
CCCCCCCCCCP(C)(C)=O,0.75,CCCCCCCCCCS(C)=O,0.25
CCCCCCCCCCP(C)(C)=O,0.64,CCCCCCCCCCS(C)=O,0.36
CCCCCCCCCCP(C)(C)=O,0.5,CCCCCCCCCCS(C)=O,0.5
CCCCCCCCCCP(C)(C)=O,0.39,CCCCCCCCCCS(C)=O,0.61
CCCCCCCCCCP(C)(C)=O,0.25,CCCCCCCCCCS(C)=O,0.75
CCCCCCCCCCP(C)(C)=O,0.12,CCCCCCCCCCS(C)=O,0.88
CCCCCCCCCCP(C)(C)=O,0.0,CCCCCCCCCCS(C)=O,1.0
CCCCCCCCCCCC[N+](C)(C)C,0.0,CCCCCCCCCC[N+](C)(C)C,1.0
CCCCCCCCCCCC[N+](C)(C)C,0.1,CCCCCCCCCC[N+](C)(C)C,0.9
CCCCCCCCCCCC[N+](C)(C)C,0.2,CCCCCCCCCC[N+](C)(C)C,0.8
CCCCCCCCCCCC[N+](C)(C)C,0.3,CCCCCCCCCC[N+](C)(C)C,0.7
CCCCCCCCCCCC[N+](C)(C)C,0.45,CCCCCCCCCC[N+](C)(C)C,0.55
CCCCCCCCCCCC[N+](C)(C)C,0.6,CCCCCCCCCC[N+](C)(C)C,0.4
CCCCCCCCCCCC[N+](C)(C)C,0.8,CCCCCCCCCC[N+](C)(C)C,0.2
CCCCCCCCCCCC[N+](C)(C)C,1.0,CCCCCCCCCC[N+](C)(C)C,0.0
CCCCCC(=O)[O-],1.0,CCCCCCC(=O)[O-],0.0
CCCCCC(=O)[O-],0.95,CCCCCCC(=O)[O-],0.05
CCCCCC(=O)[O-],0.9,CCCCCCC(=O)[O-],0.1
CCCCCC(=O)[O-],0.85,CCCCCCC(=O)[O-],0.15
CCCCCC(=O)[O-],0.75,CCCCCCC(=O)[O-],0.25
CCCCCC(=O)[O-],0.7,CCCCCCC(=O)[O-],0.3
CCCCCC(=O)[O-],0.6,CCCCCCC(=O)[O-],0.4
CCCCCC(=O)[O-],0.5,CCCCCCC(=O)[O-],0.5
CCCCCC(=O)[O-],0.35,CCCCCCC(=O)[O-],0.65
CCCCCC(=O)[O-],0.23,CCCCCCC(=O)[O-],0.77
CCCCCC(=O)[O-],0.0,CCCCCCC(=O)[O-],1.0
CCCCCC(=O)[O-],1.0,CCCCCCCC(=O)[O-],0.0
CCCCCC(=O)[O-],0.95,CCCCCCCC(=O)[O-],0.05
CCCCCC(=O)[O-],0.88,CCCCCCCC(=O)[O-],0.12
CCCCCC(=O)[O-],0.75,CCCCCCCC(=O)[O-],0.25
CCCCCC(=O)[O-],0.55,CCCCCCCC(=O)[O-],0.45
CCCCCC(=O)[O-],0.3,CCCCCCCC(=O)[O-],0.7
CCCCCC(=O)[O-],0.0,CCCCCCCC(=O)[O-],1.0
CCCCCC(=O)[O-],1.0,CCCCCCCCCC(=O)[O-],0.0
CCCCCC(=O)[O-],0.983884121,CCCCCCCCCC(=O)[O-],0.016115879
CCCCCC(=O)[O-],0.964186247,CCCCCCCCCC(=O)[O-],0.035813753
CCCCCC(=O)[O-],0.912035708,CCCCCCCCCC(=O)[O-],0.087964292
